,AO1,AO2,AO3,AOA1,AOA2,AOA6,AOA7,GBM11,GBM23,GBM24,GBM26,GBM3,GBM30,GBM9,GS2,JPA2,O4
L3MBTL4,-1.43296269362757,-0.257021436796968,1.0095832176195,-3.20378817176965,-0.279036148590577,-2.36765873994381,0.0593506826851428,-2.86256855599798,-3.64336382067675,-2.00057266875969,-0.518120196845291,-5.14111091767129,-2.60544802053675,-4.8571524184619,-1.46247075520355,-3.68790258887772,1.7671821151156
DPYD,-1.02096269362757,-0.272021436796968,0.194583217619499,-0.510788171769646,-0.427036148590577,0.512341260056186,-0.831649317314857,1.03343144400202,0.82163617932325,0.797427331240307,0.66887980315471,2.63988908232871,2.16555197946325,2.2868475815381,2.93652924479645,1.54509741112228,-0.5218178848844
H20822,0.68203730637243,1.08631189653636,0.697249884286166,0.898211828230354,1.69563051807609,1.82334126005619,0.456350682685143,2.35876477733535,0.94763617932325,2.23309399790698,1.37154646982138,2.64955574899538,3.10755197946325,3.6848475815381,2.99552924479645,2.61576407778895,0.040515448448933
AI822135,-0.27396269362757,1.79897856320303,-2.1974167823805,-1.97878817176965,-1.79303614859058,-2.54665873994381,-3.49464931731486,-0.896568555997985,-2.29136382067675,-1.76657266875969,-0.574120196845291,1.61588908232871,-0.71044802053675,2.4238475815381,1.34152924479645,-0.635902588877718,-1.6918178848844
LMO7,-0.67796269362757,-0.266021436796968,-0.9404167823805,-0.308788171769646,-1.14603614859058,-1.02865873994381,-1.51064931731486,-1.16456855599798,-0.87636382067675,-0.690572668759693,-1.42212019684529,-2.19311091767129,-3.16644802053675,-1.7051524184619,-2.11047075520355,-0.705902588877718,-1.2158178848844
ADFP,-2.28496269362757,-1.58252143679697,-2.0579167823805,-2.00628817176965,-2.07503614859058,-2.02665873994381,-2.44214931731486,-0.421068555997985,-2.88386382067675,-0.545572668759693,-2.96262019684529,1.13588908232871,1.40205197946325,-0.450652418461903,-1.49597075520355,-0.0949025888777176,-2.0068178848844
KCNMA1,1.61103730637243,-0.144021436796968,0.927583217619499,0.551211828230354,1.10396385140942,1.44634126005619,1.26435068268514,0.0984314440020151,1.35263617932325,-0.347572668759693,1.53187980315471,-1.56511091767129,-0.263448020536751,-0.209152418461903,-0.248470755203553,1.13609741112228,1.7481821151156
PCDHGC3,3.84603730637243,3.20397856320303,4.2915832176195,3.13121182823035,3.14196385140942,2.82734126005619,2.91605068268514,3.25743144400202,2.66863617932325,1.88842733124031,0.169879803154709,1.62488908232871,-2.19544802053675,0.222847581538097,0.488529244796447,3.44909741112228,4.9101821151156
MSTP9,-0.228962693627569,0.368978563203032,0.204583217619499,-0.495788171769646,1.06596385140942,0.515341260056186,-0.237649317314857,0.887431444002015,0.0236361793232502,0.518427331240307,0.93687980315471,1.56588908232871,1.69455197946325,2.1038475815381,1.01652924479645,1.55909741112228,1.0011821151156
AA479357,0.99103730637243,1.36297856320303,-0.213416782380501,0.049211828230354,-0.178036148590577,0.814341260056186,-2.37564931731486,1.45843144400202,-0.46336382067675,-0.518572668759693,-0.151120196845291,2.09488908232871,1.79655197946325,1.0318475815381,1.82252924479645,2.20409741112228,-0.6688178848844
LTF,-0.0669626936275695,-0.396021436796968,-0.083416782380501,-0.288788171769646,0.636963851409422,0.288341260056186,0.355350682685143,1.81143144400201,3.29563617932325,0.675427331240307,3.12587980315471,6.06488908232871,4.22455197946325,5.4968475815381,2.14452924479645,2.29909741112228,0.7841821151156
ZNF217,-1.79096269362757,-1.49102143679697,-1.7754167823805,-2.92478817176965,-2.10303614859058,-1.88865873994381,-2.57964931731486,-2.01556855599798,-2.48836382067675,-2.40657266875969,-2.15212019684529,-1.07411091767129,-0.655448020536751,-1.6181524184619,-1.65747075520355,-1.13790258887772,-1.9278178848844
AA490257,-0.12996269362757,0.788978563203032,0.143583217619499,0.107211828230354,0.252963851409423,-0.146658739943814,1.66135068268514,2.08843144400202,1.40963617932325,0.577427331240307,1.77087980315471,3.62488908232871,2.23955197946325,3.0828475815381,0.256529244796447,0.788097411122282,1.6741821151156
