,GBM2,GBM4,GBM5,GBM6,GBM11,GBM13,O2,GBM15,GBM23,A1,OA3,A2,A3,OA4,O5,O6,O8,GBM33,GBM34,GBM35,GBM36,GBM37,GBM39,GBM43,GBM48,GBM49,A5,A6,GBM54,GBM56,GBM58,A8,O11,OA7
GARNL1,3.25538540699199,3.25043781289715,3.59404044128271,3.34977022555799,3.48730626079201,3.34808649241085,3.43415932454338,3.3570770306991,3.43055570769558,3.78391793646813,3.73841870704732,3.6152218668187,3.76694193264649,3.74207736906028,3.59990063991223,3.57589288536027,3.71194449500001,3.47252110616164,3.43416843405905,3.13739620930559,3.60490106142488,3.41728182432728,3.36785553816865,3.23944914100231,3.39021563052245,3.44687735540776,3.59165395659867,3.60769215831255,3.45169235377358,3.23990831600735,3.33695698643608,3.47932404629703,3.7299646615625,3.49020198148384
AI982758,3.40694533290864,3.54688650829606,3.36633739745542,3.38804646706572,3.49065490014396,3.47960122024289,3.57862351091282,3.66461697000245,3.2880586488005,3.84255083056299,3.58280977584453,3.76330644897981,3.77838165486012,3.63474250176838,3.80078386653842,3.60750048771393,3.624602901342,3.61547395967443,3.52481437537984,3.28505341521674,3.47014871806493,3.5668581474559,3.28826890479368,3.51779755307892,3.55313522686054,3.58205699624436,3.74906913814877,3.77455586801284,3.80743841724286,3.3477482980325,3.64655927970353,3.75024179662212,3.71212309500634,3.29673296123353
DENND4A,2.77971406670398,2.83353021892731,3.6833091576573,2.64449865779291,2.93240831116077,2.65670272549003,2.67207752878205,3.24033454392345,2.86277458923045,3.22627760873104,3.5517959538077,2.67218193660039,3.30865169051237,3.57872193576039,2.7083979524619,3.30635725087648,2.82665196585626,2.78956731651115,2.77843706684663,2.6593180394707,2.78420776457764,3.48241976599659,3.20857732092534,2.64748175109305,2.80716890288897,2.78503569670348,2.77440308535505,3.42643757144265,2.55664859204174,2.56371833996568,2.65615859638365,2.84448525267811,3.17563037290869,3.68625551388462
GLUD2,3.58607744080616,3.31424506081634,3.65526418905356,3.69738097052505,3.58917946964772,3.28808974626022,3.84550695284849,3.60699786199485,3.73057193902867,4.11016315163798,4.08176587970585,4.03791152120188,4.12678923686792,4.22395600262208,4.17329037002109,4.01735927189811,4.15740762389048,3.39795147389502,3.87596307989118,3.72971427818771,3.99753194040646,3.61626298844143,3.6016087421568,3.34303007075445,3.88206780485323,3.82750962055465,4.05567130484835,4.15632601081221,3.59926479918364,3.62091791400829,3.73420524712355,3.92557331171828,3.91416765823016,3.49079337704104
ZFP91,4.32738971200113,4.30654103838287,4.2818975714201,4.37741714231263,4.40903448897058,4.34955076526225,4.18637337419503,4.36346585564035,4.38385518644635,4.34047606108112,4.47617839200584,4.33780961056026,4.30364897828814,4.4936642187348,4.40139983419074,4.35863779676025,4.34734908481778,4.23029236832417,4.35939863555117,4.32240839914438,4.2048033770668,4.34128200998491,4.200711873675,4.34093740332385,4.28441349708771,4.39868094278574,4.38580473478104,4.30086684401478,4.31249955028107,4.27095737058555,4.29479920455201,4.34713370888906,4.3999693909262,4.55308073370785
P15RS,3.9669154957405,3.72581259859716,3.98698623171611,3.80930303472484,3.94640333043458,3.903710313433,4.0367549342379,3.95001411249492,4.06649111223868,3.97926453380344,4.20064897480288,4.17971152011554,4.08132955394377,4.12631710396942,4.13966311282159,4.14700649988992,4.17214536765824,3.79927195308262,4.02975045962212,4.08340736559509,4.0157833212733,3.71052091058531,3.8102743991741,3.79434818550043,3.74285791244541,4.27303117365706,4.14389667811161,4.18960980544358,3.92774135691045,4.00718175994894,3.78246216083985,4.09143550664571,4.22795258902728,4.03665272502141
MIB1,3.99479500962198,3.76428032066769,3.6780895177977,3.85644702094065,3.64088294886181,3.79780207967572,4.00286201710508,4.05191243233123,3.75059208297098,4.09551654355149,4.01323398014295,3.98327365743254,3.99422892076572,4.10274706677146,4.03977286874945,4.08251354613296,3.98073060353488,3.84614770111503,3.88161783483769,3.76097924477937,3.85099377669055,3.81416372616899,3.59309846003612,3.83768974075751,3.7818644729502,4.05615481749132,4.06761515062112,4.03904082248893,3.98886276754829,3.81232371916121,3.8652857714784,4.0406407841535,3.88741264991907,3.94486951541606
PPM1A,3.39077212782434,3.46591111995727,3.65682965471952,3.28507278923302,3.68069775792378,3.34708381280593,3.60815843924772,3.56428817019415,3.75868303306366,3.82999603310391,3.90255346489723,3.96340311756253,3.93403133355475,3.77737070124602,3.79748497995707,3.89419523002638,3.53392856932584,3.64226028457051,3.46506504580761,3.67997813880428,3.59607860145739,3.35309473593271,3.32044582520198,3.44160214111607,3.53305013342114,3.63110350605557,3.93040707243639,3.81488398346703,3.70327839208951,3.41333212536009,3.34898070674209,3.7157120180884,4.0131094378003,3.3846576542368
GUSB,3.66661035190617,3.86791710633629,3.39775774046489,4.02000956064479,3.58477162893482,3.72473614164839,3.77306663080569,3.94397024793715,3.55669885483762,3.49486794898629,3.55913617601024,3.22325315623256,3.37535904389917,3.50834653600429,3.45542368580207,3.34846569749727,3.66307446796287,3.79045476619598,3.71492503929088,4.00600518894092,3.71404267839284,3.85741524577362,3.79817362627075,3.853404811852,4.01764926642235,3.47533306233111,3.37042277952463,3.28078249542434,3.81485810950919,3.70811091914771,3.5199692805063,3.60136989226684,3.35655663468769,3.8647705123076
ACBD5,4.15991028265308,4.03031829054337,4.07532041226667,3.98098131951372,4.00531494274466,4.1314399702604,4.28658197933186,4.33480876238687,4.09630679353595,4.45318172989051,4.31501830269091,4.25331231527216,4.31283192375447,4.23069389654768,4.40415753771614,4.28473589614586,4.18122244572241,4.30596513973025,4.10685407561099,4.00810006206777,4.24623056007974,4.22930094469078,3.98232700915529,4.06356707185724,4.00577297167238,4.26206852855319,4.35769456616967,4.302019168304,4.41885865382487,3.83938300756098,4.23683222459836,4.28310118098022,4.30134639420077,3.8894666470446
