,AO3,AOA1,AOA3,AOA4,AOA6,AOA7,GBM1,GBM11,GBM15,GBM21,GBM24,GBM25,GBM28,GBM3,GBM31,GBM4,GBM5,GBM6,GBM9,GNN1,GS1,O1,O3,O4,O5,sGBM3
KLRC3,0.49352499918599,-0.142067921167992,0.108002875292185,0.324967477062096,0.764383406265636,0.639029423964751,-0.949448452141443,0.50018871600015,0.411905530159442,1.09491366859181,0.0486311938762557,0.672808185026698,0.473569246973601,0.398135618655017,-0.0611475671856912,0.335179866442627,0.343666592106344,0.857843583256787,0.566436503610769,0.482994025734663,-0.370005974265337,1.15346305228334,0.591002875292185,1.3279674770621,0.690162167327583,-0.423220259979623
ZNF419B,-0.24547500081401,-0.536067921167992,-0.684997124707815,-0.104032522937904,-0.725616593734364,-0.233970576035249,0.166551547858557,0.0671887160001495,-0.451094469840559,-0.575086331408194,0.0486311938762557,0.0148081850266982,-0.386430753026399,0.294135618655017,-0.0661475671856912,-0.0468201335573726,-0.274333407893656,-0.316156416743213,-0.424563496389231,0.600994025734663,-0.149005974265337,-0.925536947716665,-0.0709971247078151,-0.345032522937904,-0.499837832672417,-0.361220259979623
DDEF1,0.37752499918599,0.335932078832008,0.546002875292185,-0.0560325229379036,0.845383406265636,0.472029423964751,0.00455154785855655,0.188188716000149,-0.0510944698405585,0.568913668591806,-0.601368806123744,0.562808185026698,0.397569246973601,-0.346864381344983,0.0348524328143088,0.281179866442627,-0.0163334078936558,0.558843583256787,-0.353563496389231,0.481994025734663,0.404994025734663,0.911463052283335,0.0930028752921849,0.670967477062096,0.279162167327583,0.400779740020377
DMN,0.31452499918599,4.15893207883201,0.335002875292185,0.0689674770620964,0.252383406265636,-0.0689705760352488,-0.0354484521414435,-0.43081128399985,-0.308094469840558,0.117913668591806,-0.0753688061237443,-0.0531918149733018,-0.630430753026399,-0.467864381344983,-0.199147567185691,-0.0228201335573726,-0.310333407893656,0.628843583256787,0.284436503610769,-0.0240059742653372,-0.116005974265337,0.268463052283335,-0.112997124707815,-0.0700325229379036,0.199162167327583,-0.285220259979623
KCNJ1,-0.49147500081401,2.68493207883201,0.0500028752921849,-0.826032522937904,-0.513616593734364,-0.0389705760352488,0.632551547858556,-0.467811283999851,0.368905530159441,-1.14708633140819,-0.463368806123744,-0.165191814973302,-0.0884307530263992,-0.675864381344983,-0.0221475671856912,-0.768820133557373,-0.834333407893656,-0.662156416743213,-0.287563496389231,-1.98300597426534,0.0109940257346628,-0.0825369477166647,0.0600028752921849,0.497967477062096,-0.147837832672417,0.514779740020377
MGC18216,-0.57347500081401,3.71393207883201,-0.160997124707815,-0.814032522937904,-0.405616593734364,-0.167970576035249,-0.231448452141443,-1.07381128399985,-0.620094469840558,-0.424086331408194,-0.941368806123744,-0.192191814973302,-0.592430753026399,-0.237864381344983,-0.221147567185691,-1.14582013355737,-0.662333407893656,-0.121156416743213,-0.548563496389231,0.140994025734663,-0.218005974265337,-0.473536947716665,-0.495997124707815,-0.162032522937904,-0.285837832672417,-0.560220259979623
PSG5,-0.59047500081401,-0.590067921167992,0.0990028752921849,-0.205032522937904,-0.318616593734364,0.0430294239647512,-0.108448452141443,-0.362811283999851,0.234905530159441,-0.0780863314081944,-0.354368806123744,0.216808185026698,-0.309430753026399,0.0271356186550167,0.106852432814309,-0.342820133557373,-0.183333407893656,0.0178435832567866,-0.0405634963892311,0.493994025734663,0.107994025734663,-0.879536947716665,-0.0449971247078151,-0.410032522937904,-0.180837832672417,0.086779740020377
FBXO32,0.38952499918599,-0.312067921167992,-0.463997124707815,-0.0910325229379036,0.449383406265636,0.274029423964751,-0.365448452141443,0.0101887160001495,0.233905530159441,-0.126086331408194,-0.376368806123744,0.137808185026698,0.0725692469736008,-0.652864381344983,0.187852432814309,0.177179866442627,0.157666592106344,0.0668435832567866,-0.385563496389231,-0.0340059742653372,-0.234005974265337,0.302463052283335,0.292002875292185,0.587967477062096,0.574162167327583,0.297779740020377
ZNF329,-0.91247500081401,-0.257067921167992,-0.972997124707815,-0.716032522937904,-0.0116165937343638,-0.599970576035249,-0.533448452141443,-0.83081128399985,-1.40209446984056,-0.495086331408194,-0.102368806123744,-0.715191814973302,-1.1244307530264,-0.179864381344983,-0.802147567185691,-0.776820133557373,-0.536333407893656,-0.611156416743213,-0.839563496389231,0.137994025734663,-0.597005974265337,-0.691536947716665,-1.20999712470782,-1.5330325229379,-0.999837832672417,-0.660220259979623
SBP1,-0.48547500081401,-0.315067921167992,-0.215997124707815,-0.182032522937904,-0.373616593734364,0.00502942396475124,-0.513448452141443,-0.55181128399985,-0.126094469840558,-0.147086331408194,-0.341368806123744,-0.247191814973302,-0.457430753026399,0.0791356186550167,-0.294147567185691,-0.356820133557373,-0.133333407893656,-0.366156416743213,-0.174563496389231,0.703994025734663,-0.526005974265337,-0.288536947716665,-0.269997124707815,-0.537032522937904,-0.379837832672417,-0.228220259979623
